Year,First Name,County,Sex,Count
2007,XAVIER,NASSAU,M,18
2007,XAVIER,RICHMOND,M,10
2007,XAVIER,ORANGE,M,8
2007,XAVIER,BRONX,M,68
2007,XAVIER,ROCKLAND,M,5
2007,XANDER,ERIE,M,6
2007,WYATT,JEFFERSON,M,5
2007,WYATT,MONROE,M,5
2007,WYATT,OSWEGO,M,7
2007,WYATT,ONONDAGA,M,6
2007,WYATT,ALBANY,M,5
2007,WYATT,NASSAU,M,5
2007,WYATT,ERIE,M,9
2007,WYATT,SUFFOLK,M,5
2007,WYATT,NEW YORK,M,13
2007,WYATT,CHENANGO,M,5
2007,WYATT,FRANKLIN,M,7
2007,WYATT,CATTARAUGUS,M,5
2007,WINNIE,NEW YORK,F,13
2007,WINNIE,KINGS,F,31
2007,WILSON,KINGS,M,11
2007,WILSON,NEW YORK,M,10
2007,WILSON,QUEENS,M,11
2007,WILMER,NASSAU,M,5
2007,WILLIAM,ULSTER,M,9
2007,WILLIAM,SCHENECTADY,M,7
2007,WILLIAM,NASSAU,M,73
2007,WILLIAM,ORANGE,M,14
2007,WILLIAM,MONROE,M,48
2007,WILLIAM,SULLIVAN,M,9
2007,WILLIAM,QUEENS,M,85
2007,WILLIAM,ONEIDA,M,8
2007,WILLIAM,ONONDAGA,M,29
2007,WILLIAM,SUFFOLK,M,89
2007,WILLIAM,CATTARAUGUS,M,5
2007,WILLIAM,ERIE,M,50
2007,WILLIAM,RENSSELAER,M,7
2007,WILLIAM,ROCKLAND,M,13
2007,WILLIAM,ORLEANS,M,5
2007,WILLIAM,BRONX,M,35
2007,WILLIAM,KINGS,M,102
2007,WILLIAM,RICHMOND,M,20
2007,WILLIAM,JEFFERSON,M,9
2007,WILLIAM,NEW YORK,M,117
2007,WILLIAM,PUTNAM,M,7
2007,WILLIAM,SARATOGA,M,10
2007,WILLIAM,ONTARIO,M,6
2007,WILLIAM,WESTCHESTER,M,61
2007,WILLIAM,TOMPKINS,M,8
2007,WILLIAM,BROOME,M,8
2007,WILLIAM,WARREN,M,5
2007,WILLIAM,NIAGARA,M,14
2007,WILLIAM,DUTCHESS,M,9
2007,WILLIAM,ALBANY,M,9
2007,WESLEY,NASSAU,M,5
2007,WENDY,QUEENS,F,13
2007,WENDY,KINGS,F,12
2007,VIVIAN,MONROE,F,8
2007,VIVIAN,KINGS,F,44
2007,VIVIAN,QUEENS,F,16
2007,VIVIAN,NASSAU,F,8
2007,VIVIAN,SUFFOLK,F,5
2007,VIVIAN,NEW YORK,F,13
2007,VIOLET,ERIE,F,6
2007,VIOLET,NEW YORK,F,14
2007,VIOLET,MONROE,F,6
2007,VIOLET,SUFFOLK,F,7
2007,VINCENZO,NASSAU,M,8
2007,VINCENZO,MONROE,M,6
2007,VINCENT,NASSAU,M,29
2007,VINCENT,NIAGARA,M,7
2007,VINCENT,BRONX,M,13
2007,VINCENT,WESTCHESTER,M,13
2007,VINCENT,NEW YORK,M,30
2007,VINCENT,ALBANY,M,6
2007,VINCENT,ERIE,M,15
2007,VINCENT,RICHMOND,M,24
2007,VINCENT,SUFFOLK,M,51
2007,VINCENT,KINGS,M,65
2007,VINCENT,MONROE,M,9
2007,VINCENT,ROCKLAND,M,9
2007,VINCENT,DUTCHESS,M,6
2007,VINCENT,QUEENS,M,42
2007,VINCENT,ORANGE,M,9
2007,VINCENT,ONONDAGA,M,6
2007,VICTORIA,SUFFOLK,F,59
2007,VICTORIA,NIAGARA,F,6
2007,VICTORIA,DUTCHESS,F,8
2007,VICTORIA,NEW YORK,F,14
2007,VICTORIA,QUEENS,F,89
2007,VICTORIA,NASSAU,F,41
2007,VICTORIA,WESTCHESTER,F,30
2007,VICTORIA,RICHMOND,F,30
2007,VICTORIA,BRONX,F,42
2007,VICTORIA,ORANGE,F,12
2007,VICTORIA,ERIE,F,21
2007,VICTORIA,ONONDAGA,F,11
2007,VICTORIA,ALBANY,F,5
2007,VICTORIA,MONROE,F,13
2007,VICTORIA,ROCKLAND,F,6
2007,VICTORIA,ULSTER,F,6
2007,VICTORIA,KINGS,F,75
2007,VICTORIA,SCHENECTADY,F,5
2007,VICTOR,SUFFOLK,M,13
2007,VICTOR,BRONX,M,40
2007,VICTOR,ORANGE,M,6
2007,VICTOR,KINGS,M,31
2007,VICTOR,MONROE,M,9
2007,VICTOR,WESTCHESTER,M,11
2007,VICTOR,NEW YORK,M,22
2007,VICTOR,NASSAU,M,8
2007,VICTOR,QUEENS,M,27
2007,VICKY,NEW YORK,F,14
2007,VICKY,KINGS,F,12
2007,VICKY,QUEENS,F,10
2007,VERONICA,SUFFOLK,F,7
2007,VERONICA,QUEENS,F,16
2007,VERONICA,KINGS,F,19
2007,VERONICA,WESTCHESTER,F,5
2007,VERONICA,NASSAU,F,5
2007,VANESSA,ROCKLAND,F,5
2007,VANESSA,NEW YORK,F,15
2007,VANESSA,ERIE,F,7
2007,VANESSA,RICHMOND,F,14
2007,VANESSA,ORANGE,F,7
2007,VANESSA,QUEENS,F,43
2007,VANESSA,NASSAU,F,14
2007,VANESSA,KINGS,F,31
2007,VANESSA,WESTCHESTER,F,16
2007,VANESSA,BRONX,F,23
2007,VANESSA,SUFFOLK,F,22
2007,VANESA,NASSAU,F,5
2007,VALERY,QUEENS,F,12
2007,VALERY,NASSAU,F,5
2007,VALERIE,KINGS,F,20
2007,VALERIE,ORANGE,F,5
2007,VALERIE,QUEENS,F,32
2007,VALERIE,SUFFOLK,F,11
2007,VALERIE,NASSAU,F,10
2007,VALERIE,BRONX,F,16
2007,VALERIE,WESTCHESTER,F,5
2007,VALERIA,KINGS,F,12
2007,VALERIA,QUEENS,F,15
2007,VALERIA,NASSAU,F,7
2007,VALERIA,SUFFOLK,F,10
2007,VALERIA,WESTCHESTER,F,19
2007,VALENTINA,QUEENS,F,27
2007,VALENTINA,SUFFOLK,F,9
2007,VALENTINA,NEW YORK,F,11
2007,VALENTINA,NASSAU,F,7
2007,USHER,ROCKLAND,M,5
2007,USHER,KINGS,M,18
2007,TZVI,KINGS,M,38
2007,TZVI,ROCKLAND,M,7
2007,TZIREL,KINGS,F,10
2007,TYRESE,KINGS,M,13
2007,TYLER,SUFFOLK,M,94
2007,TYLER,HERKIMER,M,9
2007,TYLER,MONTGOMERY,M,6
2007,TYLER,WESTCHESTER,M,37
2007,TYLER,PUTNAM,M,6
2007,TYLER,WARREN,M,5
2007,TYLER,DUTCHESS,M,15
2007,TYLER,ORANGE,M,25
2007,TYLER,NIAGARA,M,20
2007,TYLER,QUEENS,M,75
2007,TYLER,CLINTON,M,5
2007,TYLER,ULSTER,M,10
2007,TYLER,SCHENECTADY,M,8
2007,TYLER,ALLEGANY,M,9
2007,TYLER,MONROE,M,51
2007,TYLER,WAYNE,M,5
2007,TYLER,ONEIDA,M,16
2007,TYLER,LEWIS,M,5
2007,TYLER,NEW YORK,M,27
2007,TYLER,ONONDAGA,M,26
2007,TYLER,ROCKLAND,M,10
2007,TYLER,ST LAWRENCE,M,8
2007,TYLER,CATTARAUGUS,M,6
2007,TYLER,ONTARIO,M,5
2007,TYLER,BRONX,M,53
2007,TYLER,SULLIVAN,M,6
2007,TYLER,NASSAU,M,71
2007,TYLER,ERIE,M,49
2007,TYLER,GENESEE,M,5
2007,TYLER,RENSSELAER,M,16
2007,TYLER,BROOME,M,12
2007,TYLER,SARATOGA,M,11
2007,TYLER,ALBANY,M,17
2007,TYLER,JEFFERSON,M,15
2007,TYLER,KINGS,M,77
2007,TYLER,RICHMOND,M,10
2007,TYLER,OSWEGO,M,11
2007,TUCKER,MONROE,M,5
2007,TROY,NASSAU,M,5
2007,TROY,QUEENS,M,13
2007,TROY,SUFFOLK,M,7
2007,TRISTAN,QUEENS,M,29
2007,TRISTAN,RICHMOND,M,10
2007,TRISTAN,BRONX,M,35
2007,TRISTAN,ROCKLAND,M,5
2007,TRISTAN,JEFFERSON,M,5
2007,TRISTAN,MONROE,M,11
2007,TRISTAN,SUFFOLK,M,19
2007,TRISTAN,ONONDAGA,M,8
2007,TRISTAN,ORANGE,M,5
2007,TRISTAN,KINGS,M,33
2007,TRISTAN,NASSAU,M,14
2007,TRISTAN,WESTCHESTER,M,13
2007,TRISTAN,NEW YORK,M,23
2007,TRISTAN,ERIE,M,8
2007,TRINITY,KINGS,F,13
2007,TRINITY,NASSAU,F,7
2007,TRINITY,MONROE,F,8
2007,TRINITY,NIAGARA,F,5
2007,TRINITY,ONEIDA,F,6
2007,TRINITY,BRONX,F,14
2007,TRINITY,SUFFOLK,F,13
2007,TREVOR,WESTCHESTER,M,5
2007,TREVOR,SUFFOLK,M,12
2007,TREVOR,MONROE,M,11
2007,TREVOR,ONONDAGA,M,5
2007,TREVOR,ERIE,M,10
2007,TRENTON,MONROE,M,10
2007,TRENT,ERIE,M,5
2007,TRAVIS,SUFFOLK,M,7
2007,TRAVIS,ERIE,M,7
2007,TRANY,ROCKLAND,F,13
2007,TONY,NEW YORK,M,15
2007,TONY,QUEENS,M,13
2007,TONY,KINGS,M,19
2007,TOBY,ROCKLAND,F,8
2007,TOBY,KINGS,F,27
2007,TIMOTHY,KINGS,M,35
2007,TIMOTHY,WESTCHESTER,M,7
2007,TIMOTHY,ONONDAGA,M,9
2007,TIMOTHY,SARATOGA,M,5
2007,TIMOTHY,NEW YORK,M,11
2007,TIMOTHY,GENESEE,M,5
2007,TIMOTHY,NASSAU,M,22
2007,TIMOTHY,ONTARIO,M,5
2007,TIMOTHY,MONROE,M,5
2007,TIMOTHY,QUEENS,M,20
2007,TIMOTHY,ORANGE,M,7
2007,TIMOTHY,ERIE,M,14
2007,TIMOTHY,SUFFOLK,M,19
2007,TIMOTHY,DUTCHESS,M,7
2007,TIFFANY,SUFFOLK,F,10
2007,TIFFANY,NASSAU,F,10
2007,TIFFANY,BRONX,F,16
2007,TIFFANY,KINGS,F,40
2007,TIFFANY,NEW YORK,F,20
2007,TIFFANY,QUEENS,F,53
2007,TIFFANY,WESTCHESTER,F,10
2007,TIARA,BRONX,F,10
2007,THOMAS,ALBANY,M,24
2007,THOMAS,DUTCHESS,M,9
2007,THOMAS,PUTNAM,M,5
2007,THOMAS,WESTCHESTER,M,57
2007,THOMAS,RICHMOND,M,29
2007,THOMAS,BROOME,M,9
2007,THOMAS,ORANGE,M,13
2007,THOMAS,ULSTER,M,6
2007,THOMAS,RENSSELAER,M,8
2007,THOMAS,NASSAU,M,80
2007,THOMAS,TOMPKINS,M,5
2007,THOMAS,MONROE,M,30
2007,THOMAS,NIAGARA,M,7
2007,THOMAS,CAYUGA,M,8
2007,THOMAS,KINGS,M,44
2007,THOMAS,ONEIDA,M,9
2007,THOMAS,NEW YORK,M,46
2007,THOMAS,ONONDAGA,M,14
2007,THOMAS,WAYNE,M,6
2007,THOMAS,SARATOGA,M,9
2007,THOMAS,ROCKLAND,M,18
2007,THOMAS,QUEENS,M,49
2007,THOMAS,SUFFOLK,M,109
2007,THOMAS,BRONX,M,20
2007,THOMAS,ERIE,M,37
2007,THERESA,SUFFOLK,F,5
2007,THEODORE,SUFFOLK,M,7
2007,THEODORE,WESTCHESTER,M,9
2007,THEODORE,KINGS,M,14
2007,THEODORE,ERIE,M,5
2007,THEODORE,NASSAU,M,6
2007,THEODORE,NEW YORK,M,13
2007,TESSA,ERIE,F,7
2007,TESSA,NEW YORK,F,12
2007,TESSA,SUFFOLK,F,10
2007,TESSA,MONROE,F,7
2007,TESSA,WESTCHESTER,F,6
2007,TERRANCE,MONROE,M,8
2007,TENZIN,QUEENS,M,12
2007,TENZIN,QUEENS,F,14
2007,TEAGAN,ERIE,F,6
2007,TAYLOR,ONONDAGA,F,5
2007,TAYLOR,SUFFOLK,F,21
2007,TAYLOR,DUTCHESS,F,9
2007,TAYLOR,ERIE,F,23
2007,TAYLOR,WESTCHESTER,F,15
2007,TAYLOR,QUEENS,F,14
2007,TAYLOR,BRONX,F,18
2007,TAYLOR,MONROE,F,8
2007,TAYLOR,RENSSELAER,F,6
2007,TAYLOR,NASSAU,F,14
2007,TAYLOR,SARATOGA,F,6
2007,TAYLOR,KINGS,F,23
2007,TAYLOR,BROOME,F,5
2007,TAYLOR,CHENANGO,F,7
2007,TAYLOR,ORANGE,F,14
2007,TAYLOR,NIAGARA,F,6
2007,TAYLOR,ALBANY,F,5
2007,TAYLOR,NEW YORK,F,11
2007,TATIANA,BRONX,F,11
2007,TATIANA,SUFFOLK,F,8
2007,TATIANA,KINGS,F,12
2007,TATIANA,WESTCHESTER,F,10
2007,TARA,ROCKLAND,F,5
2007,TARA,WESTCHESTER,F,6
2007,TAMIA,KINGS,F,14
2007,TAMIA,NASSAU,F,5
2007,TAMIA,BRONX,F,12
2007,TAMIA,QUEENS,F,12
2007,TAMARA,QUEENS,F,11
2007,TAMAR,NASSAU,F,5
2007,TALYA,NASSAU,F,5
2007,TALIA,NASSAU,F,10
2007,TALIA,KINGS,F,13
2007,TALIA,QUEENS,F,10
2007,TALIA,BRONX,F,11
2007,SYLVIA,KINGS,F,11
2007,SYDNEY,ONONDAGA,F,10
2007,SYDNEY,KINGS,F,22
2007,SYDNEY,SARATOGA,F,6
2007,SYDNEY,SUFFOLK,F,23
2007,SYDNEY,ALBANY,F,8
2007,SYDNEY,QUEENS,F,17
2007,SYDNEY,NEW YORK,F,29
2007,SYDNEY,ERIE,F,21
2007,SYDNEY,MONROE,F,10
2007,SYDNEY,NASSAU,F,23
2007,SYDNEY,WESTCHESTER,F,21
2007,SUSAN,KINGS,F,10
2007,SURY,KINGS,F,16
2007,SURI,KINGS,F,16
2007,SUMMER,ERIE,F,5
2007,SUMMER,SUFFOLK,F,9
2007,SUMMER,NASSAU,F,7
2007,SUMMER,KINGS,F,12
2007,SUMMER,MONROE,F,7
2007,STEVEN,BRONX,M,50
2007,STEVEN,WESTCHESTER,M,23
2007,STEVEN,NEW YORK,M,30
2007,STEVEN,SUFFOLK,M,53
2007,STEVEN,BROOME,M,5
2007,STEVEN,RICHMOND,M,14
2007,STEVEN,ORANGE,M,7
2007,STEVEN,KINGS,M,60
2007,STEVEN,MONROE,M,12
2007,STEVEN,QUEENS,M,56
2007,STEVEN,NASSAU,M,35
2007,STEVEN,ROCKLAND,M,7
2007,STEVEN,ERIE,M,11
2007,STEVE,NASSAU,M,5
2007,STEVE,KINGS,M,13
2007,STEPHEN,KINGS,M,18
2007,STEPHEN,QUEENS,M,12
2007,STEPHEN,SUFFOLK,M,21
2007,STEPHEN,MONROE,M,8
2007,STEPHEN,BRONX,M,11
2007,STEPHEN,WESTCHESTER,M,7
2007,STEPHEN,ALBANY,M,5
2007,STEPHEN,NASSAU,M,14
2007,STEPHANIE,SUFFOLK,F,37
2007,STEPHANIE,WESTCHESTER,F,18
2007,STEPHANIE,QUEENS,F,51
2007,STEPHANIE,NASSAU,F,19
2007,STEPHANIE,KINGS,F,41
2007,STEPHANIE,NEW YORK,F,15
2007,STEPHANIE,ERIE,F,7
2007,STEPHANIE,BRONX,F,19
2007,STELLA,NEW YORK,F,15
2007,STELLA,KINGS,F,18
2007,STELLA,WESTCHESTER,F,6
2007,STANLEY,KINGS,M,10
2007,STACY,QUEENS,F,14
2007,STACEY,KINGS,F,10
2007,SPENCER,SUFFOLK,M,6
2007,SPENCER,WESTCHESTER,M,8
2007,SPENCER,MONROE,M,6
2007,SPENCER,NEW YORK,M,18
2007,SPENCER,NASSAU,M,12
2007,SPENCER,ERIE,M,7
2007,SOPHIE,QUEENS,F,26
2007,SOPHIE,SUFFOLK,F,13
2007,SOPHIE,ORANGE,F,5
2007,SOPHIE,ERIE,F,12
2007,SOPHIE,WESTCHESTER,F,23
2007,SOPHIE,KINGS,F,35
2007,SOPHIE,NIAGARA,F,6
2007,SOPHIE,MONROE,F,15
2007,SOPHIE,NASSAU,F,14
2007,SOPHIE,NEW YORK,F,59
2007,SOPHIA,NASSAU,F,109
2007,SOPHIA,KINGS,F,115
2007,SOPHIA,RICHMOND,F,32
2007,SOPHIA,CHAUTAUQUA,F,6
2007,SOPHIA,SARATOGA,F,17
2007,SOPHIA,NIAGARA,F,13
2007,SOPHIA,JEFFERSON,F,10
2007,SOPHIA,ROCKLAND,F,13
2007,SOPHIA,MADISON,F,6
2007,SOPHIA,WESTCHESTER,F,75
2007,SOPHIA,BROOME,F,13
2007,SOPHIA,BRONX,F,54
2007,SOPHIA,NEW YORK,F,113
2007,SOPHIA,QUEENS,F,151
2007,SOPHIA,ONONDAGA,F,29
2007,SOPHIA,SUFFOLK,F,144
2007,SOPHIA,SCHENECTADY,F,10
2007,SOPHIA,PUTNAM,F,9
2007,SOPHIA,RENSSELAER,F,6
2007,SOPHIA,MONROE,F,32
2007,SOPHIA,DUTCHESS,F,27
2007,SOPHIA,ONEIDA,F,17
2007,SOPHIA,ERIE,F,40
2007,SOPHIA,ALBANY,F,17
2007,SOPHIA,ST LAWRENCE,F,5
2007,SOPHIA,ORANGE,F,27
2007,SOPHIA,ULSTER,F,14
2007,SOPHIA,OSWEGO,F,6
2007,SOPHIA,COLUMBIA,F,5
2007,SOLOMON,ORANGE,M,5
2007,SOLOMON,KINGS,M,34
2007,SOFIA,KINGS,F,58
2007,SOFIA,BRONX,F,23
2007,SOFIA,QUEENS,F,88
2007,SOFIA,DUTCHESS,F,9
2007,SOFIA,MONROE,F,7
2007,SOFIA,WESTCHESTER,F,38
2007,SOFIA,NEW YORK,F,47
2007,SOFIA,RICHMOND,F,22
2007,SOFIA,SARATOGA,F,7
2007,SOFIA,ONONDAGA,F,7
2007,SOFIA,ERIE,F,8
2007,SOFIA,ORANGE,F,9
2007,SOFIA,ROCKLAND,F,7
2007,SOFIA,ULSTER,F,5
2007,SOFIA,NASSAU,F,44
2007,SOFIA,SUFFOLK,F,48
2007,SOFIA,PUTNAM,F,5
2007,SKYLER,SUFFOLK,F,5
2007,SKYLAR,SUFFOLK,F,10
2007,SKYLAR,NASSAU,F,10
2007,SKYLAR,ERIE,F,7
2007,SKYLAR,KINGS,F,11
2007,SKYLA,KINGS,F,11
2007,SINCERE,BRONX,M,12
2007,SIMONE,KINGS,F,12
2007,SIMON,ERIE,M,5
2007,SIMON,ORANGE,M,5
2007,SIMON,WESTCHESTER,M,5
2007,SIMON,NEW YORK,M,16
2007,SIMON,QUEENS,M,16
2007,SIMON,MONROE,M,6
2007,SIMON,KINGS,M,29
2007,SIMCHA,KINGS,M,13
2007,SIMA,KINGS,F,15
2007,SIMA,ROCKLAND,F,10
2007,SIERRA,NASSAU,F,5
2007,SIERRA,ERIE,F,7
2007,SIERRA,SUFFOLK,F,6
2007,SIENNA,RICHMOND,F,11
2007,SIENNA,KINGS,F,18
2007,SIENNA,WESTCHESTER,F,18
2007,SIENNA,ERIE,F,10
2007,SIENNA,MONROE,F,7
2007,SIENNA,SUFFOLK,F,15
2007,SIENNA,ORANGE,F,6
2007,SIENNA,NASSAU,F,17
2007,SIENNA,NEW YORK,F,19
2007,SIENA,WESTCHESTER,F,5
2007,SHULEM,ORANGE,M,11
2007,SHULEM,KINGS,M,31
2007,SHRAGA,ROCKLAND,M,6
2007,SHRAGA,KINGS,M,10
2007,SHOSHANA,KINGS,F,14
2007,SHOSHANA,NASSAU,F,5
2007,SHOLOM,KINGS,M,10
2007,SHMUEL,KINGS,M,29
2007,SHMUEL,ROCKLAND,M,13
2007,SHMIEL,KINGS,M,13
2007,SHMIEL,ROCKLAND,M,5
2007,SHLOMO,ROCKLAND,M,12
2007,SHLOMO,KINGS,M,45
2007,SHIRLEY,KINGS,F,15
2007,SHIRA,QUEENS,F,11
2007,SHIRA,KINGS,F,16
2007,SHIRA,ROCKLAND,F,5
2007,SHIMON,KINGS,M,46
2007,SHIMON,ROCKLAND,M,16
2007,SHIMON,ORANGE,M,6
2007,SHILOH,KINGS,F,10
2007,SHIFRA,KINGS,F,12
2007,SHIA,KINGS,M,11
2007,SHELBY,SUFFOLK,F,5
2007,SHEA,NASSAU,M,5
2007,SHEA,ORANGE,M,5
2007,SHAYNA,KINGS,F,10
2007,SHAYNA,SUFFOLK,F,6
2007,SHAYLA,WESTCHESTER,F,5
2007,SHAYLA,SUFFOLK,F,5
2007,SHAYLA,KINGS,F,11
2007,SHAYA,ROCKLAND,M,7
2007,SHAWN,KINGS,M,24
2007,SHAWN,SUFFOLK,M,9
2007,SHAWN,QUEENS,M,14
2007,SHAWN,ALBANY,M,6
2007,SHAWN,BRONX,M,15
2007,SHAWN,NASSAU,M,15
2007,SHAWN,ERIE,M,5
2007,SHARON,QUEENS,F,12
2007,SHARON,KINGS,F,13
2007,SHANNON,SUFFOLK,F,14
2007,SHANNON,QUEENS,F,13
2007,SHANNON,NASSAU,F,22
2007,SHANICE,KINGS,F,10
2007,SHANIA,KINGS,F,11
2007,SHANE,MONROE,M,9
2007,SHANE,ERIE,M,9
2007,SHANE,ROCKLAND,M,7
2007,SHANE,NASSAU,M,10
2007,SHANE,WESTCHESTER,M,9
2007,SHANE,SUFFOLK,M,18
2007,SHANE,ONONDAGA,M,8
2007,SHANE,QUEENS,M,18
2007,SHAMAR,KINGS,M,10
2007,SHAINDY,ORANGE,F,15
2007,SHAINDY,ROCKLAND,F,6
2007,SHAINDY,KINGS,F,36
2007,SETH,ERIE,M,9
2007,SETH,KINGS,M,15
2007,SERGIO,QUEENS,M,11
2007,SERGIO,NASSAU,M,5
2007,SERGIO,WESTCHESTER,M,7
2007,SERENITY,KINGS,F,20
2007,SERENITY,ONONDAGA,F,5
2007,SERENITY,BRONX,F,24
2007,SERENITY,ERIE,F,13
2007,SERENITY,WESTCHESTER,F,5
2007,SERENITY,SUFFOLK,F,5
2007,SERENA,MONROE,F,5
2007,SERENA,QUEENS,F,11
2007,SERENA,NASSAU,F,6
2007,SELINA,NEW YORK,F,13
2007,SELINA,KINGS,F,24
2007,SELINA,QUEENS,F,17
2007,SELENA,KINGS,F,13
2007,SELENA,NEW YORK,F,10
2007,SELENA,ERIE,F,5
2007,SEBASTIEN,NASSAU,M,6
2007,SEBASTIAN,MONROE,M,6
2007,SEBASTIAN,WESTCHESTER,M,29
2007,SEBASTIAN,DUTCHESS,M,5
2007,SEBASTIAN,ROCKLAND,M,9
2007,SEBASTIAN,BRONX,M,38
2007,SEBASTIAN,SUFFOLK,M,25
2007,SEBASTIAN,ORANGE,M,6
2007,SEBASTIAN,QUEENS,M,94
2007,SEBASTIAN,NASSAU,M,21
2007,SEBASTIAN,KINGS,M,48
2007,SEBASTIAN,NEW YORK,M,50
2007,SEAN,ROCKLAND,M,14
2007,SEAN,MONROE,M,21
2007,SEAN,NASSAU,M,52
2007,SEAN,ONONDAGA,M,15
2007,SEAN,NEW YORK,M,40
2007,SEAN,RICHMOND,M,19
2007,SEAN,DUTCHESS,M,7
2007,SEAN,SUFFOLK,M,74
2007,SEAN,SARATOGA,M,10
2007,SEAN,QUEENS,M,65
2007,SEAN,WESTCHESTER,M,33
2007,SEAN,ALBANY,M,8
2007,SEAN,ORANGE,M,21
2007,SEAN,NIAGARA,M,12
2007,SEAN,ONEIDA,M,9
2007,SEAN,KINGS,M,37
2007,SEAN,ERIE,M,16
2007,SEAN,RENSSELAER,M,7
2007,SEAN,ULSTER,M,5
2007,SEAN,BRONX,M,39
2007,SEAMUS,ORANGE,M,5
2007,SCOTT,NASSAU,M,6
2007,SCOTT,NIAGARA,M,6
2007,SCOTT,SUFFOLK,M,6
2007,SCARLETT,NASSAU,F,8
2007,SCARLETT,NEW YORK,F,19
2007,SCARLETT,BRONX,F,11
2007,SCARLETT,QUEENS,F,18
2007,SCARLETT,SUFFOLK,F,8
2007,SCARLETT,WESTCHESTER,F,7
2007,SAVANNAH,ORANGE,F,10
2007,SAVANNAH,WESTCHESTER,F,9
2007,SAVANNAH,QUEENS,F,15
2007,SAVANNAH,JEFFERSON,F,6
2007,SAVANNAH,NASSAU,F,6
2007,SAVANNAH,BRONX,F,39
2007,SAVANNAH,OSWEGO,F,6
2007,SAVANNAH,ONEIDA,F,5
2007,SAVANNAH,ONONDAGA,F,8
2007,SAVANNAH,MONROE,F,14
